,head,head_replaced,head_translated
0,PersonX makes it work,someone makes it work,有人让它工作
1,PersonX pulls out PersonY's cell phone,someone pulls out someone else's cell phone,有人掏出别人的手机
2,PersonX takes vitamins immediately,someone takes vitamins immediately,有人立即服用维生素
3,PersonX buys pizza,someone buys pizza,有人买披萨
4,PersonX rids the bus to school,someone rids the bus to school,有人坐公共汽车去学校
5,PersonX smells blood,someone smells blood,有人闻到血腥味
6,PersonX argues a lot,someone argues a lot,有人经常吵架
7,PersonX takes PersonY measures,someone takes someone else measures,有人用别人的方法
8,PersonX acts as PersonY intermediary,someone acts as someone else intermediary,有人充当其他中间人
9,PersonX turns towards PersonY,someone turns towards someone else,有人转向其他人
10,PersonX accepts into college,someone accepts into college,有人被大学录取了
11,PersonX motivates PersonY,someone motivates someone else,有人激励别人
12,PersonX spends ___ with PersonY family,someone spends something with someone else family,有人和别人家一起
13,PersonX feels the same way,someone feels the same way,有人也这么想
14,PersonX penetrates every hole,someone penetrates every hole,有人穿透每个洞
15,PersonX becomes rich,someone becomes rich,有人变得富有
16,PersonX persuades PersonY to let,someone persuades someone else to let,有人劝别人
17,PersonX divides the ___ into sections,someone divides something into sections,有人把某物分成几个部分
18,PersonX gets PersonX's things,someone gets his things,有人拿了他的东西
19,PersonX walks away from PersonY,someone walks away from someone else,有人离开了别人
20,PersonX receives trees from god,someone receives trees from god,有人从上帝那里得到树
21,PersonX enlightens every ___,someone enlightens every something,有人启发了一切
22,PersonX licks PersonY's balls,someone licks someone else's balls,有人舔别人的蛋蛋
23,PersonX is a good worker,someone is a good worker,有人是个好工人
24,PersonX passes the ___ away,someone passes something away,有人把什么东西丢掉了
25,PersonX builds something,someone builds something,有人建造了一些东西
26,PersonX wants to save money,someone wants to save money,有人想省钱
27,PersonX hears distinctly the ___,someone hears distinctly something,有人清楚地听到了什么
28,PersonX finally came,someone finally came,终于有人来了
29,PersonX lives so far away,someone lives so far away,有人住得那么远
30,PersonX is able to fix it,someone is able to fix it,有人能修好它
31,PersonX gives ___ to one,someone gives something to one,某人给某人某物
32,PersonX dedicates PersonX's ___ to the service,someone dedicates his something to the service,有人把他的东西奉献给了服务
33,PersonX defines precisely the ___,someone defines precisely something,有人精确地定义了某些东西
34,PersonX gets the pizza,someone gets the pizza,有人去拿披萨
35,PersonX makes PersonY inspection,someone makes someone else inspection,有人让别人检查
36,PersonX strikes while the iron is hot,someone strikes while the iron is hot,有人趁热打铁
37,PersonX challenges ___ to a fight,someone challenges something to a fight,有人向某件事发起挑战
38,PersonX pursues PersonY career,someone pursues someone else career,有人追求别人的事业
39,PersonX teaches ___ in schools,someone teaches something in schools,有人在学校教东西
40,PersonX wants PersonY to know,someone wants someone else to know,有人想让别人知道
41,PersonX buys some bread,someone buys some bread,有人买了些面包
42,PersonX sits at PersonY's desk,someone sits at someone else's desk,有人坐在别人的桌子旁
43,PersonX turns the corner,someone turns the corner,有人转过街角
44,PersonX gets PersonX's test back,someone gets his test back,有人要回他的试卷
45,PersonX kisses PersonY tenderly,someone kisses someone else tenderly,有人温柔地吻别人
46,PersonX has always wanted a dog,someone has always wanted a dog,总有人想要一只狗
47,PersonX makes spaghetti for lunch,someone makes spaghetti for lunch,有人午餐做意大利面
48,PersonX sets sail,someone sets sail,有人起航了
49,PersonX takes several hours,someone takes several hours,有人要花几个小时
50,PersonX strokes PersonX's beard,someone strokes his beard,有人摸他的胡子
51,PersonX writes PersonY introduction,someone writes someone else introduction,有人写别人的介绍
52,PersonX gets the work under way,someone gets the work under way,有人开始工作了
53,PersonX orders some pizza,someone orders some pizza,有人点了披萨
54,PersonX runs along the side,someone runs along the side,有人从旁边跑过
55,PersonX never been on a train,someone never been on a train,从来没坐过火车
56,PersonX prevents PersonY's use,someone prevents someone else's use,有人阻止别人使用
57,PersonX hears ___ at night,someone hears something at night,有人在夜里听到了什么
58,PersonX calls a locksmith,someone calls a locksmith,有人打电话给锁匠
59,PersonX puts a stop to ___,someone puts a stop to something,有人阻止了某事
60,PersonX makes PersonY popular,someone makes someone else popular,有人让别人受欢迎
61,PersonX watches a scary movie,someone watches a scary movie,有人看恐怖电影
62,PersonX expands PersonX's ___ to include,someone expands his something to include,有人把他的东西扩展到
63,PersonX brings ___ into the field,someone brings something into the field,有人把东西带进了战场
64,PersonX leaves PersonY's body,someone leaves someone else's body,有人离开了别人的身体
65,PersonX carries away the ball,someone carries away the ball,有人把球拿走了
66,PersonX wants a sandwich,someone wants a sandwich,有人想要三明治
67,PersonX begins PersonY program,someone begins someone else program,开始别人的程序
68,PersonX writes PersonY's history,someone writes someone else's history,有人写别人的历史
69,PersonX gets ___ from the store,someone gets something from the store,有人从商店买东西
70,PersonX takes ___ of things,someone takes something of things,有人拿走了一些东西
71,PersonX carries these ___ into effect,someone carries these something into effect,有人把这些东西
72,PersonX is a little girl,someone is a little girl,有人是个小女孩
73,PersonX keeps track of PersonY,someone keeps track of someone else,有人跟踪别人
74,PersonX drops PersonX's cell phone,someone drops his cell phone,有人掉了他的手机
75,PersonX goes back to PersonY's room,someone goes back to someone else's room,有人回到别人的房间
76,PersonX is at summer camp,someone is at summer camp,有人在夏令营
77,PersonX plays for PersonX,someone plays for himself,有人为自己演奏
78,PersonX gives people,someone gives people,有人给人
79,PersonX is found dead morning at PersonY's home in,someone is found dead morning at someone else's home in,有人被发现死在别人家里
80,PersonX sets PersonY's jaw,someone sets someone else's jaw,有人竖起别人的下巴
81,PersonX feels PersonY's breath,someone feels someone else's breath,有人感觉到别人的呼吸
82,PersonX loves to dance,someone loves to dance,有人喜欢跳舞
83,PersonX raises a lot of money,someone raises a lot of money,有人赚了很多钱
84,PersonX times to compete,someone times to compete,有机会竞争
85,PersonX has run away,someone has run away,有人跑了
86,PersonX takes a big bite,someone takes a big bite,有人咬了一口
87,PersonX drives very well,someone drives very well,有人开得很好
88,PersonX takes ___ in the work,someone takes something in the work,有人在工作中拿走了什么
89,PersonX declines the offer,someone declines the offer,有人拒绝了
90,PersonX wants to improve PersonX's health,someone wants to improve his health,有人想改善他的健康
91,PersonX enjoys PersonY's class,someone enjoys someone else's class,有人喜欢上别人的课
92,PersonX hangs heavy,someone hangs heavy,有人挂得很重
93,PersonX sees ___ one day,someone sees something one day,有一天有人看到了什么
94,PersonX takes advantage,someone takes advantage,有人占了便宜
95,PersonX takes ___ outside,someone takes something outside,有人在外面拿东西
96,PersonX eats PersonY's vegetables,someone eats someone else's vegetables,有人吃别人的蔬菜
97,PersonX brings the ___ to a close,someone brings something to a close,有人结束了某事
98,PersonX surprises PersonY with a trip,someone surprises someone else with a trip,有人旅行给别人带来惊喜
99,PersonX finds a wallet on the street,someone finds a wallet on the street,有人在街上发现一个钱包
100,PersonX climbs to the top,someone climbs to the top,有人爬到了山顶
101,PersonX makes hay while the sun shines,someone makes hay while the sun shines,有人在阳光下晒干草
102,PersonX goes ___ after school,someone goes something after school,有人放学后去
103,PersonX swings through water,someone swings through water,有人在水中摇摆
104,PersonX performs PersonY operation,someone performs someone else operation,有人替别人操作
105,PersonX seeks ___ elsewhere,someone seeks something elsewhere,某人在别处寻找某物
106,PersonX sees PersonY mother,someone sees someone else mother,有人看到了别人妈妈
